START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,Days,Gender,Status ,Rider Age,Fare,Ride_Duration
1/1/2016 21:11,1/1/2016 21:17,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,WEEKEND,Male,Cancelled,25,4,20
1/2/2016 1:25,1/2/2016 1:37,Business,Fort Pierce,Fort Pierce,5,Other,WEEKEND,Male,On-time,26,12,60
1/2/2016 20:25,1/2/2016 20:38,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,WEEKEND,Male,On-time,25,8,40
1/5/2016 17:31,1/5/2016 17:45,Business,Fort Pierce,Fort Pierce,4.7,Meeting,WEEKEND,Female,On-time,35,20,70
1/6/2016 14:42,1/6/2016 15:49,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,WEEKEND,Female,Cancelled,25,16,20
1/6/2016 17:15,1/6/2016 17:19,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,WEEKEND,Male,Cancelled,36,28,25
1/6/2016 17:30,1/6/2016 17:35,Business,West Palm Beach,Palm Beach,7.1,Meeting,WEEKEND,Male,Cancelled,23,24,35
1/7/2016 13:27,1/7/2016 13:33,Business,Chicago Downtown,Chicago Downtown,0.8,Meeting,WEEKEND,Male,Cancelled,29,36,44
1/10/2016 8:05,1/10/2016 8:25,Business,Chicago Downtown,Chicago Suburb,8.3,Meeting,WEEKEND,Male,Cancelled,33,32,10
1/10/2016 12:17,1/10/2016 12:44,Business,Richmond Downtown,Richmond hindu temple,16.5,Customer Visit,WEEKEND,Female,Cancelled,39,40,30
1/10/2016 15:08,1/10/2016 15:51,Business,Richmond hindu temple,Richmond Downtown,10.8,Meeting,WEEKEND,Female,On-time,44,4,15
1/10/2016 18:18,1/10/2016 18:53,Business,Richmond Downtown,Richmond hindu temple,7.5,Meeting,WEEKDAY,Female,On-time,46,12,20
1/10/2016 19:12,1/10/2016 19:32,Business,Boston Downtown,Boston Tea Party,6.2,Meeting,WEEKDAY,Female,On-time,28,8,23
1/11/2016 8:55,1/11/2016 9:21,Business,Dallas Downtown,Dallas airport,6.4,Temporary Site,WEEKDAY,Female,On-time,33,20,40
1/11/2016 11:56,1/11/2016 12:03,Business,Dallas airport,Dallas Downtown,1.6,Errand/Supplies,WEEKDAY,Female,On-time,55,16,42
1/11/2016 13:32,1/11/2016 13:46,Business,Boston Downtown,Boston Downtown East,1.7,Meal/Entertain,WEEKDAY,Female,On-time,32,28,60
1/11/2016 14:30,1/11/2016 14:43,Business,Boston Downtown East,Boston Downtown,1.9,Meal/Entertain,WEEKEND,Female,On-time,27,24,60
1/12/2016 12:33,1/12/2016 12:49,Business,Boston Downtown,Boston Tea Party,1.9,Meal/Entertain,WEEKEND,Male,On-time,53,36,60
1/12/2016 12:53,1/12/2016 13:09,Business,New york Downtown,Newyork timesquare,4,Meal/Entertain,WEEKEND,Male,On-time,45,32,60
1/12/2016 14:42,1/12/2016 14:56,Business,Newyork timesquare,New york Downtown,1.8,Errand/Supplies,WEEKEND,Female,On-time,23,40,70
1/12/2016 15:13,1/12/2016 15:28,Business,New york Downtown,Boston tea party,2.4,Customer Visit,WEEKEND,Female,Cancelled,23,4,70
1/12/2016 15:42,1/12/2016 15:54,Business,Boston tea party,Boston Downtown,2,Errand/Supplies,WEEKEND,Female,Delay,23,12,30
1/12/2016 16:02,1/12/2016 17:00,Business,Richmond hindu temple,Richmond Downtown,15.1,Meeting,WEEKEND,Male,On-time,46,8,72
1/13/2016 13:54,1/13/2016 14:07,Business,LA Downtown,LA Downtown,11.2,Meeting,WEEKEND,Male,Cancelled,55,20,40
1/13/2016 15:00,1/13/2016 15:28,Business,LA Downtown,LA Downtown,11.8,Meeting,WEEKEND,Male,Cancelled,55,16,50
1/14/2016 16:29,1/14/2016 17:05,Business,Miami beach,Miami beach,21.9,Customer Visit,WEEKEND,Male,Cancelled,33,28,50
1/14/2016 21:39,1/14/2016 21:45,Business,Newjersey Airport,Newjersey Downtown,3.9,Errand/Supplies,WEEKEND,Male,On-time,46,24,50
1/15/2016 0:41,1/15/2016 1:01,Business,Chicago Suburb,Chicago Downtown,8,Errand/Supplies,WEEKEND,Male,On-time,55,36,50
1/15/2016 11:43,1/15/2016 12:03,Business,Chicago Downtown,Chicago Suburb,10.4,Meal/Entertain,WEEKEND,Male,On-time,33,32,50
1/15/2016 13:26,1/15/2016 13:44,Business,Chicago Suburb,Chicago Downtown,10.4,Meal/Entertain,WEEKEND,Male,On-time,33,40,50
1/18/2016 14:55,1/18/2016 15:06,Business,Chicago Downtown,Chicago Downtown,4.8,Meal/Entertain,WEEKEND,Female,On-time,46,4,50
1/18/2016 16:13,1/18/2016 16:24,Business,LA Amtrak station,LA Downtown,4.7,Meal/Entertain,WEEKEND,Male,On-time,36,12,50
1/19/2016 9:09,1/19/2016 9:23,Business,LA Downtown,LA Amtrak station,7.2,Other,WEEKEND,Male,On-time,35,8,50
