Days,Gender,Status ,Rider Age,Fare,Ride_Duration
WEEKEND,Male,Cancelled,25,4,20
WEEKEND,Male,On-time,26,12,60
WEEKEND,Male,On-time,25,8,40
WEEKEND,Female,On-time,35,20,70
WEEKEND,Female,Cancelled,25,16,20
WEEKEND,Male,Cancelled,36,28,25
WEEKEND,Male,Cancelled,23,24,35
WEEKEND,Male,Cancelled,29,36,44
WEEKEND,Male,Cancelled,33,32,10
WEEKEND,Female,Cancelled,39,40,30
WEEKEND,Female,On-time,44,4,15
WEEKDAY,Female,On-time,46,12,20
WEEKDAY,Female,On-time,28,8,23
WEEKDAY,Female,On-time,33,20,40
WEEKDAY,Female,On-time,55,16,42
WEEKDAY,Female,On-time,32,28,60
WEEKEND,Female,On-time,27,24,60
WEEKEND,Male,On-time,53,36,60
WEEKEND,Male,On-time,45,32,60
WEEKEND,Female,On-time,23,40,70
WEEKEND,Female,Cancelled,23,4,70
WEEKEND,Female,Delay,23,12,30
WEEKEND,Male,On-time,46,8,72
WEEKEND,Male,Cancelled,55,20,40
WEEKEND,Male,Cancelled,55,16,50
WEEKEND,Male,Cancelled,33,28,50
WEEKEND,Male,On-time,46,24,50
WEEKEND,Male,On-time,55,36,50
WEEKEND,Male,On-time,33,32,50
WEEKEND,Male,On-time,33,40,50
WEEKEND,Female,On-time,46,4,50
WEEKEND,Male,On-time,36,12,50
WEEKEND,Male,On-time,35,8,50
WEEKDAY,Male,On-time,33,20,45
WEEKEND,Female,On-time,42,16,45
WEEKEND,Female,On-time,38,28,45
WEEKEND,Female,On-time,36,24,45
WEEKEND,Female,On-time,38,36,45
WEEKEND,Female,On-time,67,32,45
WEEKEND,Female,On-time,70,40,45
WEEKEND,Female,On-time,80,4,45
WEEKEND,Female,On-time,38,12,45
WEEKEND,Female,On-time,76,8,45
WEEKEND,Female,On-time,37,20,45
WEEKEND,Female,Cancelled,28,16,30
WEEKEND,Female,Cancelled,64,28,30
WEEKEND,Female,Delay,39,24,30
WEEKEND,Female,Delay,77,36,30
WEEKEND,Female,On-time,72,32,30
WEEKDAY,Female,On-time,29,40,30
WEEKDAY,Female,On-time,70,4,30
WEEKDAY,Female,On-time,76,12,30
WEEKDAY,Male,UNKNOWN,20,8,30
WEEKDAY,Male,UNKNOWN,26,20,30
WEEKEND,Male,UNKNOWN,27,16,30
WEEKEND,Male,UNKNOWN,28,28,30
WEEKDAY,Male,UNKNOWN,23,24,30
WEEKDAY,Male,UNKNOWN,28,36,20
WEEKDAY,Male,UNKNOWN,33,32,20
WEEKDAY,Male,On-time,76,40,20
WEEKDAY,Male,On-time,54,4,20
WEEKEND,Male,On-time,38,12,20
WEEKEND,Male,On-time,47,8,20
WEEKDAY,Male,On-time,33,20,20
WEEKDAY,Male,On-time,76,16,20
WEEKDAY,Male,On-time,28,28,20
WEEKDAY,Male,On-time,64,24,20
WEEKDAY,Male,On-time,76,36,20
WEEKEND,Male,On-time,53,32,20
WEEKEND,Male,On-time,45,40,20
WEEKDAY,Male,On-time,23,4,20
WEEKDAY,Male,On-time,23,12,20
WEEKDAY,Male,On-time,64,8,62
WEEKDAY,Male,On-time,49,20,62
WEEKDAY,Male,On-time,33,16,62
WEEKEND,Male,On-time,45,28,62
WEEKEND,Male,On-time,76,24,62
WEEKDAY,Male,On-time,76,36,62
WEEKDAY,Male,On-time,53,32,62
WEEKDAY,Male,On-time,76,40,62
WEEKDAY,Male,On-time,54,4,62
WEEKDAY,Male,On-time,38,12,62
WEEKEND,Male,On-time,64,8,62
WEEKEND,Male,On-time,49,20,35
WEEKDAY,Male,On-time,33,16,40
WEEKDAY,Male,On-time,20,28,25
WEEKDAY,Male,On-time,26,24,20
WEEKDAY,Male,On-time,27,36,19
WEEKDAY,Male,On-time,28,32,20
WEEKEND,Male,On-time,38,40,40
WEEKEND,Male,On-time,67,4,60
WEEKDAY,Male,On-time,70,12,63
WEEKDAY,Male,On-time,80,8,40
WEEKDAY,Male,On-time,27,20,40
WEEKDAY,Male,On-time,28,16,40
WEEKDAY,Male,On-time,23,28,40
WEEKEND,Male,On-time,33,24,40
WEEKEND,Male,On-time,76,36,40
WEEKDAY,Male,On-time,54,32,40
WEEKDAY,Male,On-time,38,40,40
WEEKDAY,Male,On-time,42,4,40
WEEKEND,Male,On-time,38,12,14
WEEKEND,Male,On-time,36,8,40
WEEKEND,Male,On-time,53,20,40
WEEKEND,Male,On-time,45,16,40
WEEKEND,Male,On-time,23,28,40
WEEKEND,Male,On-time,23,24,40
WEEKDAY,Male,On-time,36,36,40
WEEKDAY,Male,On-time,23,32,40
WEEKDAY,Male,On-time,29,40,40
WEEKDAY,Male,On-time,33,4,40
WEEKDAY,Male,On-time,39,12,40
WEEKEND,Male,On-time,20,8,40
WEEKEND,Male,On-time,26,20,40
WEEKDAY,Male,On-time,27,16,25
WEEKDAY,Male,On-time,28,28,40
WEEKDAY,Male,On-time,23,24,40
WEEKDAY,Male,On-time,36,36,40
WEEKDAY,Male,On-time,23,32,40
WEEKEND,Male,On-time,29,40,40
WEEKEND,Male,On-time,33,4,40
WEEKDAY,Male,On-time,39,12,40
WEEKDAY,Male,On-time,44,8,40
WEEKDAY,Male,On-time,46,20,40
WEEKDAY,Male,On-time,28,16,20
WEEKDAY,Male,On-time,33,28,40
WEEKEND,Male,On-time,55,24,40
WEEKEND,Male,On-time,19,36,40
WEEKDAY,Male,On-time,25,32,40
WEEKDAY,Male,On-time,35,40,40
WEEKDAY,Male,On-time,55,4,40
WEEKDAY,Male,On-time,45,12,40
WEEKDAY,Male,On-time,37,8,40
WEEKEND,Male,On-time,26,20,40
WEEKEND,Male,On-time,77,16,75
WEEKDAY,Male,On-time,57,28,75
WEEKDAY,Male,On-time,67,24,75
WEEKDAY,Male,On-time,29,36,75
WEEKDAY,Male,On-time,31,32,75
WEEKDAY,Male,On-time,35,40,60
WEEKEND,Male,On-time,38,4,75
WEEKEND,Male,On-time,39,12,75
WEEKDAY,Male,On-time,40,8,75
WEEKDAY,Male,On-time,62,20,75
WEEKDAY,Male,On-time,43,16,75
WEEKDAY,Male,On-time,23,28,65
WEEKDAY,Male,On-time,29,24,65
WEEKEND,Male,On-time,33,36,65
WEEKEND,Male,On-time,39,32,19
WEEKDAY,Male,On-time,23,40,65
WEEKDAY,Male,On-time,33,4,65
WEEKDAY,Male,On-time,76,12,65
WEEKDAY,Male,On-time,28,8,24
WEEKDAY,Male,On-time,38,20,24
WEEKEND,Male,On-time,76,16,24
WEEKEND,Male,On-time,28,28,24
WEEKDAY,Male,On-time,64,24,24
WEEKDAY,Male,On-time,76,36,24
WEEKDAY,Male,On-time,53,32,24
WEEKDAY,Male,On-time,45,40,24
WEEKDAY,Male,On-time,23,4,24
WEEKEND,Male,On-time,38,12,24
WEEKEND,Male,On-time,33,8,20
WEEKDAY,Male,On-time,20,20,20
WEEKDAY,Male,On-time,26,16,20
WEEKDAY,Male,On-time,27,28,20
WEEKDAY,Male,On-time,28,24,20
WEEKDAY,Male,On-time,38,36,20
WEEKEND,Male,On-time,29,32,16
WEEKEND,Male,On-time,33,40,20
WEEKDAY,Male,On-time,39,4,20
WEEKDAY,Male,On-time,44,12,27
WEEKDAY,Male,On-time,46,8,20
WEEKDAY,Female,On-time,28,20,26
WEEKDAY,Female,On-time,33,16,20
WEEKEND,Female,On-time,57,28,20
WEEKEND,Female,On-time,67,24,29
WEEKDAY,Female,On-time,29,36,20
WEEKDAY,Female,On-time,31,32,20
WEEKDAY,Female,On-time,55,40,20
WEEKDAY,Male,On-time,32,4,16
WEEKDAY,Male,On-time,27,12,16
WEEKEND,Male,On-time,53,8,16
WEEKEND,Male,On-time,45,20,16
WEEKDAY,Female,On-time,23,16,16
WEEKDAY,Female,On-time,80,28,16
WEEKDAY,Female,On-time,38,24,16
WEEKDAY,Female,On-time,76,36,30
WEEKDAY,Female,On-time,37,32,30
WEEKEND,Female,On-time,28,40,30
WEEKEND,Female,On-time,64,4,30
WEEKDAY,Female,On-time,72,12,30
WEEKDAY,Female,On-time,29,8,18
WEEKDAY,Female,On-time,70,20,30
WEEKDAY,Female,On-time,76,16,30
WEEKDAY,Female,On-time,20,28,30
WEEKEND,Female,On-time,26,24,10
WEEKEND,Female,On-time,33,36,30
WEEKDAY,Female,On-time,33,32,35
WEEKDAY,Female,On-time,46,40,35
WEEKDAY,Female,On-time,36,4,35
WEEKDAY,Female,On-time,35,12,35
WEEKDAY,Female,On-time,33,8,35
WEEKEND,Female,On-time,23,20,20
WEEKEND,Female,On-time,36,16,35
WEEKDAY,Female,On-time,23,28,35
WEEKDAY,Female,On-time,29,24,35
WEEKDAY,Female,On-time,33,36,60
WEEKDAY,Female,On-time,39,32,35
WEEKDAY,Female,On-time,44,40,35
WEEKEND,Female,On-time,46,4,35
WEEKEND,Female,On-time,28,12,35
WEEKDAY,Female,On-time,33,8,35
WEEKDAY,Female,On-time,55,20,48
WEEKDAY,Female,On-time,18,16,48
WEEKDAY,Female,On-time,65,28,48
WEEKDAY,Female,On-time,31,24,48
WEEKEND,Female,On-time,23,36,20
WEEKEND,Female,On-time,28,32,48
WEEKDAY,Female,On-time,33,40,48
WEEKDAY,Male,On-time,55,4,48
WEEKDAY,Male,On-time,32,12,48
WEEKDAY,Male,On-time,27,8,48
WEEKDAY,Male,Delay,23,20,48
WEEKEND,Female,Delay,36,16,48
WEEKEND,Female,Delay,23,28,48
WEEKDAY,Female,Delay,29,24,20
WEEKDAY,Female,Delay,33,32,16
WEEKDAY,Female,Delay,46,40,16
WEEKDAY,Female,Delay,28,4,16
WEEKDAY,Female,Delay,33,12,16
WEEKEND,Female,Delay,55,8,16
WEEKEND,Female,Delay,32,20,16
WEEKDAY,Female,Delay,27,16,16
WEEKDAY,Female,Delay,23,28,30
WEEKDAY,Female,Delay,36,24,30
WEEKDAY,Female,Delay,23,36,30
WEEKDAY,Female,Delay,29,32,30
WEEKEND,Female,Delay,33,40,30
WEEKEND,Female,Delay,19,4,18
WEEKDAY,Female,Delay,25,12,30
WEEKDAY,Female,Delay,35,8,30
WEEKDAY,Female,Delay,55,20,30
WEEKDAY,Female,Delay,45,16,10
WEEKDAY,Female,Delay,37,28,30
WEEKEND,Female,Delay,26,24,35
WEEKEND,Female,Delay,28,36,35
WEEKDAY,Female,Delay,33,32,35
WEEKDAY,Female,Delay,55,40,35
WEEKDAY,Female,Delay,67,4,35
WEEKDAY,Female,Delay,29,12,20
WEEKDAY,Male,Delay,31,8,35
WEEKEND,Male,Delay,35,20,35
WEEKEND,Male,Delay,38,16,35
WEEKDAY,Male,Delay,39,28,60
WEEKDAY,Female,Delay,23,24,35
WEEKDAY,Female,Delay,36,36,35
WEEKDAY,Female,Delay,23,32,35
WEEKDAY,Female,Delay,33,40,35
WEEKEND,Female,Delay,76,4,35
WEEKEND,Female,Delay,28,12,48
WEEKDAY,Female,Delay,64,8,48
WEEKDAY,Female,Delay,76,20,48
WEEKDAY,Female,Delay,53,16,48
WEEKDAY,Female,Delay,53,28,20
WEEKDAY,Female,Delay,76,24,48
WEEKEND,Female,Delay,54,36,20
WEEKEND,Female,Delay,38,32,20
WEEKDAY,Female,Delay,64,40,16
WEEKDAY,Female,Delay,49,4,16
WEEKDAY,Female,Delay,33,12,16
WEEKDAY,Female,Delay,20,8,16
WEEKDAY,Male,Delay,18,20,16
WEEKEND,Male,Delay,65,16,16
WEEKEND,Female,Delay,31,28,16
WEEKDAY,Male,Delay,23,24,30
WEEKDAY,Female,Delay,36,36,30
WEEKDAY,Female,Delay,23,32,30
WEEKDAY,Female,Delay,23,40,30
WEEKDAY,Female,Delay,28,4,30
WEEKEND,Female,Delay,33,12,18
WEEKEND,Female,Delay,55,8,30
WEEKDAY,Female,Delay,76,20,30
WEEKDAY,Female,Delay,37,16,30
WEEKDAY,Female,Delay,28,28,10
WEEKDAY,Female,Delay,64,24,30
WEEKDAY,Female,Delay,72,36,35
WEEKEND,Female,Delay,29,32,35
WEEKEND,Female,Delay,70,40,35
WEEKDAY,Female,Delay,76,4,35
WEEKDAY,Female,Delay,20,12,35
WEEKDAY,Female,Delay,26,8,20
WEEKDAY,Female,Delay,33,20,35
WEEKDAY,Male,Delay,33,16,35
WEEKEND,Male,Delay,45,28,35
WEEKEND,Female,Delay,37,24,60
WEEKDAY,Male,Delay,26,36,35
WEEKDAY,Male,Delay,77,32,35
WEEKDAY,Female,Delay,57,40,35
WEEKDAY,Female,Delay,67,4,35
WEEKDAY,Female,Delay,36,12,35
WEEKEND,Female,Delay,23,8,48
WEEKEND,Female,Delay,29,20,48
WEEKDAY,Female,Delay,33,16,48
WEEKDAY,Female,Delay,39,28,48
WEEKDAY,Female,Delay,44,24,20
WEEKDAY,Female,Delay,46,36,48
WEEKDAY,Female,Delay,28,32,20
WEEKEND,Female,Delay,33,40,20
WEEKEND,Female,Delay,55,4,16
WEEKDAY,Female,Delay,32,12,16
WEEKDAY,Female,Delay,27,8,16
WEEKDAY,Female,Delay,28,20,16
WEEKDAY,Female,Delay,38,16,16
WEEKDAY,Female,Delay,76,28,16
WEEKEND,Male,Delay,28,24,16
WEEKEND,Female,Delay,64,36,30
WEEKDAY,Male,Delay,76,32,30
WEEKDAY,Male,Delay,53,40,30
WEEKDAY,Female,Delay,45,4,30
WEEKDAY,Female,Delay,27,8,18
WEEKDAY,Female,Delay,28,20,30
WEEKEND,Female,Delay,23,16,30
WEEKEND,Female,Delay,36,28,30
WEEKDAY,Female,Delay,23,24,10
WEEKDAY,Female,Delay,76,36,30
WEEKDAY,Female,Delay,54,32,35
WEEKDAY,Female,Delay,38,40,35
WEEKDAY,Female,Delay,64,4,35
WEEKEND,Female,Delay,49,12,35
WEEKEND,Female,Delay,33,8,35
WEEKDAY,Female,Delay,20,20,20
WEEKDAY,Female,Delay,26,16,35
WEEKDAY,Female,Delay,27,28,35
WEEKDAY,Female,Delay,36,24,35
WEEKDAY,Female,Delay,23,36,60
WEEKEND,Female,Delay,29,32,35
WEEKEND,Female,Delay,33,40,35
WEEKDAY,Male,Delay,39,4,35
WEEKDAY,Female,Delay,44,12,35
WEEKDAY,Male,Delay,46,8,35
WEEKDAY,Male,Delay,28,20,48
WEEKDAY,Female,Delay,33,16,48
WEEKEND,Female,Delay,29,28,48
WEEKEND,Female,Delay,33,24,48
WEEKDAY,Female,Delay,39,36,20
WEEKDAY,Female,Delay,44,32,48
WEEKDAY,Female,Delay,46,40,20
WEEKDAY,Female,Delay,28,4,20
WEEKDAY,Female,Delay,33,12,16
WEEKEND,Female,Delay,55,20,16
WEEKEND,Female,Delay,32,16,16
WEEKDAY,Female,Delay,28,28,16
WEEKDAY,Female,Delay,33,24,16
WEEKDAY,Female,Delay,55,36,16
WEEKDAY,Female,Delay,67,32,30
WEEKDAY,Female,Delay,29,40,30
WEEKEND,Female,Delay,53,4,30
WEEKEND,Female,Delay,45,12,30
WEEKDAY,Female,Delay,23,8,30
WEEKDAY,Female,Delay,23,20,18
WEEKDAY,Female,Delay,23,16,30
WEEKDAY,Female,Delay,46,28,30
WEEKDAY,Female,Delay,55,24,30
WEEKEND,Female,Delay,55,36,10
WEEKEND,Female,Delay,33,32,30
WEEKDAY,Female,Delay,55,40,35
WEEKDAY,Female,Delay,42,4,35
WEEKDAY,Female,Cancelled,62,12,35
WEEKDAY,Female,Cancelled,37,8,35
WEEKDAY,Female,Cancelled,73,20,35
WEEKEND,Female,Cancelled,48,16,20
WEEKEND,Female,Cancelled,25,28,35
WEEKDAY,Female,Cancelled,27,24,35
WEEKDAY,Female,Cancelled,28,36,35
WEEKDAY,Female,Cancelled,24,32,60
WEEKDAY,Female,Cancelled,34,40,35
WEEKDAY,Female,Cancelled,32,4,35
WEEKEND,Female,Cancelled,30,12,35
WEEKEND,Female,Cancelled,71,20,35
WEEKDAY,Female,Cancelled,29,16,48
WEEKDAY,Female,Cancelled,46,28,48
WEEKDAY,Female,Cancelled,43,24,48
WEEKDAY,Female,Cancelled,80,36,48
WEEKDAY,Female,Cancelled,31,32,20
WEEKEND,Female,Cancelled,73,40,48
WEEKEND,Female,Cancelled,68,4,20
WEEKDAY,Female,Cancelled,22,12,20
WEEKDAY,Female,Cancelled,20,8,16
WEEKDAY,Female,Cancelled,28,20,16
WEEKDAY,Female,Cancelled,29,16,16
WEEKDAY,Male,Cancelled,33,28,16
WEEKEND,Male,Cancelled,39,24,16
WEEKEND,Female,Cancelled,44,36,16
WEEKDAY,Male,Cancelled,46,32,16
WEEKDAY,Female,Cancelled,28,40,30
WEEKDAY,Female,Cancelled,33,4,30
WEEKDAY,Female,Cancelled,55,12,30
WEEKDAY,Female,Cancelled,32,8,30
WEEKEND,Female,Cancelled,28,20,30
WEEKEND,Female,Cancelled,33,16,18
WEEKDAY,Female,Cancelled,55,28,30
WEEKDAY,Female,Cancelled,67,24,30
WEEKDAY,Male,Cancelled,29,36,30
WEEKDAY,Male,Cancelled,28,32,10
WEEKDAY,Male,Cancelled,33,40,30
WEEKEND,Female,On-time,55,4,35
WEEKEND,Male,On-time,67,12,35
WEEKDAY,Male,On-time,29,8,35
WEEKDAY,Female,On-time,29,20,35
WEEKDAY,Female,Delay,46,16,35
WEEKDAY,Female,Delay,28,28,20
WEEKDAY,Female,Delay,33,24,35
WEEKEND,Female,Delay,55,36,35
