,START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
0,1/1/2016 21:11,1/1/2016 21:17,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain
1,1/2/2016 1:25,1/2/2016 1:37,Business,Fort Pierce,Fort Pierce,5,Other
2,1/2/2016 20:25,1/2/2016 20:38,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies
3,1/5/2016 17:31,1/5/2016 17:45,Business,Fort Pierce,Fort Pierce,4.7,Meeting
4,1/6/2016 14:42,1/6/2016 15:49,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit
5,1/6/2016 17:15,1/6/2016 17:19,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain
6,1/6/2016 17:30,1/6/2016 17:35,Business,West Palm Beach,Palm Beach,7.1,Meeting
7,1/7/2016 13:27,1/7/2016 13:33,Business,Chicago Downtown,Chicago Downtown,0.8,Meeting
8,1/10/2016 8:05,1/10/2016 8:25,Business,Chicago Downtown,Chicago Suburb,8.3,Meeting
9,1/10/2016 12:17,1/10/2016 12:44,Business,Richmond Downtown,Richmond hindu temple,16.5,Customer Visit
10,1/10/2016 15:08,1/10/2016 15:51,Business,Richmond hindu temple,Richmond Downtown,10.8,Meeting
11,1/10/2016 18:18,1/10/2016 18:53,Business,Richmond Downtown,Richmond hindu temple,7.5,Meeting
12,1/10/2016 19:12,1/10/2016 19:32,Business,Boston Downtown,Boston Tea Party,6.2,Meeting
13,1/11/2016 8:55,1/11/2016 9:21,Business,Dallas Downtown,Dallas airport,6.4,Temporary Site
14,1/11/2016 11:56,1/11/2016 12:03,Business,Dallas airport,Dallas Downtown,1.6,Errand/Supplies
15,1/11/2016 13:32,1/11/2016 13:46,Business,Boston Downtown,Boston Downtown East,1.7,Meal/Entertain
16,1/11/2016 14:30,1/11/2016 14:43,Business,Boston Downtown East,Boston Downtown,1.9,Meal/Entertain
17,1/12/2016 12:33,1/12/2016 12:49,Business,Boston Downtown,Boston Tea Party,1.9,Meal/Entertain
18,1/12/2016 12:53,1/12/2016 13:09,Business,New york Downtown,Newyork timesquare,4,Meal/Entertain
19,1/12/2016 14:42,1/12/2016 14:56,Business,Newyork timesquare,New york Downtown,1.8,Errand/Supplies
20,1/12/2016 15:13,1/12/2016 15:28,Business,New york Downtown,Boston tea party,2.4,Customer Visit
21,1/12/2016 15:42,1/12/2016 15:54,Business,Boston tea party,Boston Downtown,2,Errand/Supplies
22,1/12/2016 16:02,1/12/2016 17:00,Business,Richmond hindu temple,Richmond Downtown,15.1,Meeting
23,1/13/2016 13:54,1/13/2016 14:07,Business,LA Downtown,LA Downtown,11.2,Meeting
24,1/13/2016 15:00,1/13/2016 15:28,Business,LA Downtown,LA Downtown,11.8,Meeting
25,1/14/2016 16:29,1/14/2016 17:05,Business,Miami beach,Miami beach,21.9,Customer Visit
26,1/14/2016 21:39,1/14/2016 21:45,Business,Newjersey Airport,Newjersey Downtown,3.9,Errand/Supplies
27,1/15/2016 0:41,1/15/2016 1:01,Business,Chicago Suburb,Chicago Downtown,8,Errand/Supplies
28,1/15/2016 11:43,1/15/2016 12:03,Business,Chicago Downtown,Chicago Suburb,10.4,Meal/Entertain
29,1/15/2016 13:26,1/15/2016 13:44,Business,Chicago Suburb,Chicago Downtown,10.4,Meal/Entertain
30,1/18/2016 14:55,1/18/2016 15:06,Business,Chicago Downtown,Chicago Downtown,4.8,Meal/Entertain
31,1/18/2016 16:13,1/18/2016 16:24,Business,LA Amtrak station,LA Downtown,4.7,Meal/Entertain
32,1/19/2016 9:09,1/19/2016 9:23,Business,LA Downtown,LA Amtrak station,7.2,Other
33,1/19/2016 10:55,1/19/2016 11:09,Business,LA Amtrak station,LA Downtown,7.6,Temporary Site
34,1/20/2016 10:36,1/20/2016 11:11,Business,Chicago Downtown,Chicago suburb,17.1,Meeting
35,1/20/2016 11:48,1/20/2016 12:19,Business,Dallas Downtown,Dallas airport,15.1,Meeting
36,1/20/2016 13:25,1/20/2016 14:19,Business,Chicago suburb,Chicago Downtown,40.2,Customer Visit
37,1/21/2016 14:25,1/21/2016 14:29,Business,Chicago Downtown,Chicago Downtown,1.6,Errand/Supplies
38,1/21/2016 14:43,1/21/2016 14:51,Business,Chicago Downtown,Chicago Downtown,2.4,Meal/Entertain
39,1/21/2016 16:01,1/21/2016 16:06,Business,Chicago Downtown,Chicago Downtown,1,Meal/Entertain
40,1/26/2016 10:41,1/26/2016 10:50,Business,LA Downtown,LA Amtrak station,2,Meal/Entertain
41,1/26/2016 12:33,1/26/2016 12:41,Business,LA Amtrak station,LA Downtown,2.3,Errand/Supplies
42,1/26/2016 16:24,1/26/2016 16:32,Business,LA Downtown,Westpark Place,1.9,Errand/Supplies
43,1/26/2016 17:17,1/26/2016 17:22,Business,Chicago Downtown,Chicago Downtown,1.4,Errand/Supplies
44,1/26/2016 17:27,1/26/2016 17:29,Business,Chicago Downtown,Chicago Downtown,0.5,Errand/Supplies
45,1/27/2016 9:24,1/27/2016 9:31,Business,Chicago Downtown,Chicago Downtown,1.8,Meeting
46,1/27/2016 10:19,1/27/2016 10:48,Business,Chicago Downtown,Chicago Suburb,18.7,Customer Visit
47,1/27/2016 12:34,1/27/2016 12:44,Business,Boston Downtown,Boston tea Party,3.4,Customer Visit
48,1/27/2016 14:05,1/27/2016 14:13,Business,Dallas Downtown,Dallas Downtown,2.7,Customer Visit
49,1/27/2016 14:46,1/27/2016 15:08,Business,Chicago Downtown,Chicago Downtown,12.9,Customer Visit
50,1/28/2016 12:28,1/28/2016 13:00,Business,Chicago Downtown,Raleigh,19,Temporary Site
51,1/28/2016 15:11,1/28/2016 15:31,Business,West Palm Beach,West Palm Beach,14.7,Meeting
52,1/28/2016 16:21,1/28/2016 16:51,Business,Chicago Downtown,Chicago Downtown,15.7,Meeting
53,1/29/2016 9:31,1/29/2016 9:45,Business,Chicago Downtown,Chicago Downtown,4.6,Customer Visit
54,1/29/2016 10:56,1/29/2016 11:07,Business,Chicago Downtown,Chicago Downtown,5.2,Meeting
55,1/29/2016 11:43,1/29/2016 12:03,Business,Chicago Downtown,Durham,10.4,Meeting
56,1/29/2016 13:24,1/29/2016 13:47,Business,Chicago Downtown,Chicago Downtown,10.1,Meeting
57,1/29/2016 18:31,1/29/2016 18:52,Business,Chicago Downtown,Apex,5.8,Errand/Supplies
58,1/29/2016 21:21,1/29/2016 21:40,Business,Chicago Downtown,Chicago Downtown,5.5,Meal/Entertain
59,1/30/2016 16:21,1/30/2016 16:33,Business,Chicago Downtown,Apex,5.7,Errand/Supplies
60,1/30/2016 18:09,1/30/2016 18:24,Business,Chicago Downtown,Chicago Downtown,5.7,Customer Visit
61,2/1/2016 10:35,2/1/2016 11:15,Business,Chicago Downtown,Chapel Hill,19.4,Customer Visit
62,2/1/2016 12:10,2/1/2016 12:43,Business,Milwaukee Downtown,Milwaukee Downtown,23.3,Customer Visit
63,2/1/2016 12:56,2/1/2016 13:07,Business,LA amtrak station,LA Downtown,3.9,Meal/Entertain
64,2/2/2016 13:04,2/2/2016 13:23,Business,LA Downtown,Williamsburg Manor,8.3,Meeting
65,2/2/2016 13:51,2/2/2016 14:06,Business,Chicago Downtown,Chicago Downtown,6,Errand/Supplies
66,2/2/2016 14:38,2/2/2016 14:42,Business,Chicago Downtown,Chicago Downtown,1.6,Errand/Supplies
67,2/4/2016 8:40,2/4/2016 9:01,Business,Chicago Downtown,Chicago Suburb,5.2,Errand/Supplies
68,2/4/2016 9:37,2/4/2016 10:09,Business,Chicago Suburb,Chicago Downtown,9.7,Meal/Entertain
69,2/4/2016 10:26,2/4/2016 10:32,Business,Chicago Downtown,Chicago Downtown,1.6,Meal/Entertain
70,2/4/2016 15:59,2/4/2016 16:03,Business,Chicago Downtown,Chicago Downtown,1.1,Meal/Entertain
71,2/4/2016 16:35,2/4/2016 16:39,Business,Chicago Downtown,Chicago Downtown,1.6,Meal/Entertain
